title,year,genre,budget,marketing,box_office,release_month,streaming_revenue,is_sequel,cast_level
台北追緝令,2024,動作,55.0,12.0,85.0,7,25.0,0,4
暗夜獵人,2023,動作,48.0,10.0,62.0,1,18.0,0,3
烈焰行動,2024,動作,70.0,15.0,120.0,8,35.0,0,5
鐵拳風暴,2022,動作,42.0,8.0,38.0,3,12.0,0,3
極速狂飆,2023,動作,60.0,13.0,95.0,7,28.0,0,4
龍捲風暴,2024,動作,65.0,14.0,78.0,12,22.0,0,4
暗影任務,2022,動作,38.0,7.0,30.0,9,10.0,0,2
全面反擊,2023,動作,52.0,11.0,72.0,2,20.0,1,4
特務行動,2024,動作,58.0,12.0,88.0,6,26.0,0,3
雷霆突擊,2022,動作,45.0,9.0,42.0,11,14.0,0,3
戰神歸來,2023,動作,75.0,16.0,130.0,7,40.0,1,5
末日追擊,2024,動作,50.0,10.0,55.0,4,16.0,0,3
初戀那件小事,2023,愛情,25.0,8.0,45.0,2,15.0,0,3
月光下的告白,2024,愛情,20.0,6.0,32.0,8,12.0,0,2
時光戀人,2022,愛情,30.0,9.0,55.0,2,18.0,0,4
雨季不再來,2023,愛情,18.0,5.0,22.0,10,8.0,0,2
你的世界末日,2024,愛情,28.0,8.0,48.0,2,16.0,0,3
再見微笑,2022,愛情,22.0,6.0,28.0,5,10.0,0,2
愛在黃昏後,2023,愛情,35.0,10.0,65.0,2,22.0,0,4
星空下的約定,2024,愛情,26.0,7.0,38.0,12,13.0,0,3
那年夏天的你,2022,愛情,15.0,4.0,18.0,7,6.0,0,1
遲來的春天,2023,愛情,32.0,9.0,58.0,8,20.0,0,4
心跳證明,2024,愛情,24.0,7.0,42.0,2,14.0,0,3
咒怨重生,2023,恐怖,15.0,5.0,35.0,7,12.0,1,2
暗巷回聲,2024,恐怖,12.0,4.0,28.0,10,10.0,0,2
鬼校傳說,2022,恐怖,10.0,3.0,22.0,8,8.0,0,1
紅衣小女孩3,2023,恐怖,18.0,7.0,52.0,7,18.0,1,3
深夜食堂詛咒,2024,恐怖,14.0,5.0,32.0,2,11.0,0,2
靈異實驗室,2022,恐怖,8.0,2.5,15.0,4,5.0,0,1
第七夜,2023,恐怖,16.0,6.0,42.0,8,15.0,0,3
禁忌遊戲,2024,恐怖,11.0,4.0,25.0,10,9.0,0,2
陰陽路口,2022,恐怖,9.0,3.0,18.0,7,6.0,0,1
鬼門開,2023,恐怖,20.0,7.0,48.0,8,16.0,0,3
夜半鬼敲門,2024,恐怖,13.0,4.5,30.0,7,10.0,0,2
做工的人劇場版,2023,職人劇,35.0,10.0,68.0,1,22.0,1,4
麻醉風暴電影版,2024,職人劇,40.0,12.0,75.0,2,25.0,1,5
火神的眼淚,2022,職人劇,32.0,9.0,48.0,6,16.0,0,3
鑑識英雄,2023,職人劇,38.0,11.0,55.0,3,18.0,0,4
白色巨塔,2024,職人劇,45.0,13.0,82.0,8,28.0,0,5
記者戰場,2022,職人劇,28.0,7.0,35.0,9,12.0,0,3
法外之徒,2023,職人劇,30.0,8.0,42.0,5,14.0,0,3
急診室的春天,2024,職人劇,33.0,9.0,50.0,1,17.0,0,3
料理高校生,2022,職人劇,25.0,6.0,30.0,12,10.0,0,2
偵探事務所,2023,職人劇,36.0,10.0,58.0,7,20.0,0,4
大尾鱸鰻3,2023,喜劇,30.0,12.0,85.0,2,28.0,1,4
總舖師2,2024,喜劇,28.0,10.0,72.0,2,24.0,1,4
那個男人來自高雄,2022,喜劇,20.0,6.0,35.0,7,12.0,0,3
全民大劇團,2023,喜劇,25.0,8.0,48.0,1,16.0,0,3
瘋狂假期,2024,喜劇,22.0,7.0,40.0,7,14.0,0,2
笑林高手,2022,喜劇,18.0,5.0,25.0,4,8.0,0,2
歡樂時光,2023,喜劇,35.0,12.0,92.0,2,30.0,0,5
鄰居大戰,2024,喜劇,24.0,8.0,52.0,8,18.0,0,3
喜從天降,2022,喜劇,15.0,4.0,20.0,6,7.0,0,2
我的婆婆怎麼那麼可愛劇場版,2023,喜劇,32.0,11.0,78.0,2,26.0,1,4
阿嬤的秘密,2024,喜劇,20.0,6.0,38.0,1,13.0,0,3
